Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID
5/14/2017, 09:58:06, 00:09:06,546.78,1.2,70.499," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 09:58:16, 00:09:17,557.347,1.783,59.931," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Show interest"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 09:58:42, 00:09:42,582.849,1.283,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Lick"""," ""M-Wu Gang""",,,,,,,, Point,23
5/14/2017, 09:59:11, 00:10:11,611.895,0.466,141.012," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""1-End state""",,,,,,,,, State start,23
5/14/2017, 09:59:16, 00:10:17,617.279,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:59:16, 00:10:17,617.279,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Body length <1"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:59:16, 00:10:17,617.279,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:59:16, 00:10:17,617.279,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Show interest"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:59:16, 00:10:17,617.279,1.117,52.155," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 10:00:08, 00:11:09,669.434,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 10:00:08, 00:11:09,669.434,1.399,29.269," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Stationary alert"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 10:00:38, 00:11:38,698.702,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Stationary alert"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 10:00:38, 00:11:38,698.702,0.966,9.601," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 10:00:47, 00:11:48,708.303,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 10:00:47, 00:11:48,708.303,2.283,15.401," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Defecate"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 10:01:03, 00:12:03,723.704,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Defecate"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 10:01:03, 00:12:03,723.704,1.466,29.203," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Stationary alert"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 10:01:32, 00:12:32,752.907,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""1-End state""",,,,,,,,, State stop,23
5/14/2017, 10:01:32, 00:12:32,752.907,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Stationary alert"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 10:01:32, 00:12:32,752.907,2.25,92.891," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Resting"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 10:03:05, 00:14:05,845.798,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Resting"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 10:03:05, 00:14:05,845.798,1.816,11.151," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Stationary alert"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 10:03:09, 00:14:10,850.032,0.983,6.917," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 10:03:16, 00:14:16,856.949,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Stationary alert"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 10:03:16, 00:14:16,856.949,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 10:03:16, 00:14:16,856.949,1.983,37.07," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 10:03:53, 00:14:54,894.019,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 10:03:53, 00:14:54,894.019,1.216,7.8," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Defecate"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 10:04:01, 00:15:01,901.819,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Defecate"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 10:04:01, 00:15:01,901.819,3.868,10.585," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""0-Nondirected""",,,,,,,, State start,23
5/14/2017, 10:04:11, 00:15:12,912.404,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""0-Nondirected""",,,,,,,, State stop,23
5/14/2017, 10:04:11, 00:15:12,912.404,1.816,81.49," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Stationary alert"""," ""0-Nondirected""",,,,,,,, State start,23
5/14/2017, 10:04:41, 00:15:42,942.523,1.35,51.37," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""0-Nondirected""",,,,,,,, State start,23
5/14/2017, 10:04:49, 00:15:49,949.907,1.434,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Lick"""," ""0-Nondirected""",,,,,,,, Point,23
5/14/2017, 10:05:04, 00:16:05,965.258,1.867,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Lick"""," ""0-Nondirected""",,,,,,,, Point,23
5/14/2017, 10:05:10, 00:16:11,971.009,1.7,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Lick"""," ""0-Nondirected""",,,,,,,, Point,23
5/14/2017, 10:05:33, 00:16:33,993.893,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Stationary alert"""," ""0-Nondirected""",,,,,,,, State stop,23
5/14/2017, 10:05:33, 00:16:33,993.893,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""0-Nondirected""",,,,,,,, State stop,23
5/14/2017, 10:05:33, 00:16:33,993.893,1.783,366.698," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Resting"""," ""0-Nondirected""",,,,,,,, State start,23
5/14/2017, 10:11:40, 00:22:40,1360.592,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Resting"""," ""0-Nondirected""",,,,,,,, State stop,23
5/14/2017, 10:11:40, 00:22:40,1360.592,0.916,19.651," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""0-Nondirected""",,,,,,,, State start,23
5/14/2017, 10:11:51, 00:22:51,1371.992,1.017,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Foot scrape"""," ""0-Nondirected""",,,,,,,, Point,23
5/14/2017, 10:11:59, 00:23:00,1380.243,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""0-Nondirected""",,,,,,,, State stop,23
5/14/2017, 10:11:59, 00:23:00,1380.243,1.167,73.69," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 10:12:03, 00:23:03,1383.694,1.633,70.24," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 10:12:19, 00:23:19,1399.762,1.067,54.172," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Body length <1"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 10:12:25, 00:23:25,1405.946,0.95,47.988," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Show interest"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 10:12:48, 00:23:48,1428.964,1.5,24.969," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 10:13:03, 00:24:04,1444.533,0.282,355.467," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""1-End state""",,,,,,,,, State start,23
